"","der_activity_month","type","speciality","name","value"
"66","2018-12-01","NHS","Orthopaedic","Cost (£)","120425518.340847"
"67","2019-01-01","Independent Sector","Orthopaedic","Inpatient admissions","13590"
"68","2019-01-01","Independent Sector","Orthopaedic","Outpatient appointments","2511"
"69","2019-01-01","Independent Sector","Orthopaedic","Cost (£)","54064494.26"
"70","2019-01-01","NHS","Orthopaedic","Inpatient admissions","37874"
"71","2019-01-01","NHS","Orthopaedic","Outpatient appointments","24207"
"72","2019-01-01","NHS","Orthopaedic","Cost (£)","125536337.980822"
"73","2019-02-01","Independent Sector","Orthopaedic","Inpatient admissions","13064"
"74","2019-02-01","Independent Sector","Orthopaedic","Outpatient appointments","2275"
"75","2019-02-01","Independent Sector","Orthopaedic","Cost (£)","51932527.65"
"76","2019-02-01","NHS","Orthopaedic","Inpatient admissions","35626"
"77","2019-02-01","NHS","Orthopaedic","Outpatient appointments","21481"
"78","2019-02-01","NHS","Orthopaedic","Cost (£)","126462048.674702"
"79","2019-03-01","Independent Sector","Orthopaedic","Inpatient admissions","14339"
"80","2019-03-01","Independent Sector","Orthopaedic","Outpatient appointments","2291"
"81","2019-03-01","Independent Sector","Orthopaedic","Cost (£)","58060785.18"
"82","2019-03-01","NHS","Orthopaedic","Inpatient admissions","39299"
"83","2019-03-01","NHS","Orthopaedic","Outpatient appointments","23193"
"84","2019-03-01","NHS","Orthopaedic","Cost (£)","141383139.951324"
"85","2019-04-01","Independent Sector","Orthopaedic","Inpatient admissions","11553"
"86","2019-04-01","Independent Sector","Orthopaedic","Outpatient appointments","2212"
"87","2019-04-01","Independent Sector","Orthopaedic","Cost (£)","45726430.711568"
"88","2019-04-01","NHS","Orthopaedic","Inpatient admissions","35888"
"89","2019-04-01","NHS","Orthopaedic","Outpatient appointments","24537"
"90","2019-04-01","NHS","Orthopaedic","Cost (£)","128005671.022074"
"91","2019-05-01","Independent Sector","Orthopaedic","Inpatient admissions","13144"
"92","2019-05-01","Independent Sector","Orthopaedic","Outpatient appointments","2377"
"93","2019-05-01","Independent Sector","Orthopaedic","Cost (£)","51669718.96"
"94","2019-05-01","NHS","Orthopaedic","Inpatient admissions","38162"
"95","2019-05-01","NHS","Orthopaedic","Outpatient appointments","26440"
"96","2019-05-01","NHS","Orthopaedic","Cost (£)","138784009.765353"
"97","2019-06-01","Independent Sector","Orthopaedic","Inpatient admissions","12600"
"98","2019-06-01","Independent Sector","Orthopaedic","Outpatient appointments","2305"
"99","2019-06-01","Independent Sector","Orthopaedic","Cost (£)","51200775.42"
"100","2019-06-01","NHS","Orthopaedic","Inpatient admissions","36501"
"101","2019-06-01","NHS","Orthopaedic","Outpatient appointments","25371"
"102","2019-06-01","NHS","Orthopaedic","Cost (£)","133553600.275196"
"103","2019-07-01","Independent Sector","Orthopaedic","Inpatient admissions","12881"
"104","2019-07-01","Independent Sector","Orthopaedic","Outpatient appointments","2482"
"105","2019-07-01","Independent Sector","Orthopaedic","Cost (£)","51243915.38"
"106","2019-07-01","NHS","Orthopaedic","Inpatient admissions","38857"
"107","2019-07-01","NHS","Orthopaedic","Outpatient appointments","29472"
"108","2019-07-01","NHS","Orthopaedic","Cost (£)","138336804.319414"
"109","2019-08-01","Independent Sector","Orthopaedic","Inpatient admissions","11948"
"110","2019-08-01","Independent Sector","Orthopaedic","Outpatient appointments","2396"
"111","2019-08-01","Independent Sector","Orthopaedic","Cost (£)","47829949.861823"
"112","2019-08-01","NHS","Orthopaedic","Inpatient admissions","33796"
"113","2019-08-01","NHS","Orthopaedic","Outpatient appointments","24648"
"114","2019-08-01","NHS","Orthopaedic","Cost (£)","123896075.451314"
"115","2019-09-01","Independent Sector","Orthopaedic","Inpatient admissions","12739"
"116","2019-09-01","Independent Sector","Orthopaedic","Outpatient appointments","2715"
"117","2019-09-01","Independent Sector","Orthopaedic","Cost (£)","51761199.704625"
"118","2019-09-01","NHS","Orthopaedic","Inpatient admissions","36768"
"119","2019-09-01","NHS","Orthopaedic","Outpatient appointments","25792"
"120","2019-09-01","NHS","Orthopaedic","Cost (£)","130997148.599974"
"121","2019-10-01","Independent Sector","Orthopaedic","Inpatient admissions","14024"
"122","2019-10-01","Independent Sector","Orthopaedic","Outpatient appointments","2916"
"123","2019-10-01","Independent Sector","Orthopaedic","Cost (£)","56916830.180251"
"124","2019-10-01","NHS","Orthopaedic","Inpatient admissions","41031"
"125","2019-10-01","NHS","Orthopaedic","Outpatient appointments","27500"
"126","2019-10-01","NHS","Orthopaedic","Cost (£)","143873130.457436"
"127","2019-11-01","Independent Sector","Orthopaedic","Inpatient admissions","13924"
"128","2019-11-01","Independent Sector","Orthopaedic","Outpatient appointments","2647"
"129","2019-11-01","Independent Sector","Orthopaedic","Cost (£)","57081065.818093"
"130","2019-11-01","NHS","Orthopaedic","Inpatient admissions","37884"
"131","2019-11-01","NHS","Orthopaedic","Outpatient appointments","23199"
"132","2019-11-01","NHS","Orthopaedic","Cost (£)","133996086.284683"
"133","2019-12-01","Independent Sector","Orthopaedic","Inpatient admissions","10822"
"134","2019-12-01","Independent Sector","Orthopaedic","Outpatient appointments","2296"
"135","2019-12-01","Independent Sector","Orthopaedic","Cost (£)","43704570.205009"
"136","2019-12-01","NHS","Orthopaedic","Inpatient admissions","31790"
"137","2019-12-01","NHS","Orthopaedic","Outpatient appointments","21552"
"138","2019-12-01","NHS","Orthopaedic","Cost (£)","113779750.674729"
"139","2020-01-01","Independent Sector","Orthopaedic","Inpatient admissions","13589"
"140","2020-01-01","Independent Sector","Orthopaedic","Outpatient appointments","2826"
"141","2020-01-01","Independent Sector","Orthopaedic","Cost (£)","54644244.007275"
"142","2020-01-01","NHS","Orthopaedic","Inpatient admissions","36548"
"143","2020-01-01","NHS","Orthopaedic","Outpatient appointments","23987"
"144","2020-01-01","NHS","Orthopaedic","Cost (£)","121260513.974945"
"145","2020-02-01","Independent Sector","Orthopaedic","Inpatient admissions","13122"
"146","2020-02-01","Independent Sector","Orthopaedic","Outpatient appointments","2425"
"147","2020-02-01","Independent Sector","Orthopaedic","Cost (£)","53638937.238465"
"148","2020-02-01","NHS","Orthopaedic","Inpatient admissions","35799"
"149","2020-02-01","NHS","Orthopaedic","Outpatient appointments","20366"
"150","2020-02-01","NHS","Orthopaedic","Cost (£)","126486749.251603"
"151","2020-03-01","Independent Sector","Orthopaedic","Inpatient admissions","9614"
"152","2020-03-01","Independent Sector","Orthopaedic","Outpatient appointments","1653"
"153","2020-03-01","Independent Sector","Orthopaedic","Cost (£)","40632019.227945"
"154","2020-03-01","NHS","Orthopaedic","Inpatient admissions","22916"
"155","2020-03-01","NHS","Orthopaedic","Outpatient appointments","17384"
"156","2020-03-01","NHS","Orthopaedic","Cost (£)","85750451.231398"
"157","2020-04-01","Independent Sector","Orthopaedic","Inpatient admissions","124"
"158","2020-04-01","Independent Sector","Orthopaedic","Outpatient appointments","142"
"159","2020-04-01","Independent Sector","Orthopaedic","Cost (£)","295797.08289"
"160","2020-04-01","NHS","Orthopaedic","Inpatient admissions","928"
"161","2020-04-01","NHS","Orthopaedic","Outpatient appointments","8070"
"162","2020-04-01","NHS","Orthopaedic","Cost (£)","3566776.438509"
"163","2020-05-01","Independent Sector","Orthopaedic","Inpatient admissions","208"
"164","2020-05-01","Independent Sector","Orthopaedic","Outpatient appointments","138"
"165","2020-05-01","Independent Sector","Orthopaedic","Cost (£)","269112.16"
"166","2020-05-01","NHS","Orthopaedic","Inpatient admissions","1572"
"167","2020-05-01","NHS","Orthopaedic","Outpatient appointments","8145"
"168","2020-05-01","NHS","Orthopaedic","Cost (£)","5349925.222359"
"169","2020-06-01","Independent Sector","Orthopaedic","Inpatient admissions","1142"
"170","2020-06-01","Independent Sector","Orthopaedic","Outpatient appointments","226"
"171","2020-06-01","Independent Sector","Orthopaedic","Cost (£)","2588657.377762"
"172","2020-06-01","NHS","Orthopaedic","Inpatient admissions","5499"
"173","2020-06-01","NHS","Orthopaedic","Outpatient appointments","12009"
"174","2020-06-01","NHS","Orthopaedic","Cost (£)","18198618.26557"
"175","2020-07-01","Independent Sector","Orthopaedic","Inpatient admissions","2726"
"176","2020-07-01","Independent Sector","Orthopaedic","Outpatient appointments","572"
"177","2020-07-01","Independent Sector","Orthopaedic","Cost (£)","7102026.841544"
"178","2020-07-01","NHS","Orthopaedic","Inpatient admissions","12540"
"179","2020-07-01","NHS","Orthopaedic","Outpatient appointments","14374"
"180","2020-07-01","NHS","Orthopaedic","Cost (£)","44323652.172635"
"181","2020-08-01","Independent Sector","Orthopaedic","Inpatient admissions","4581"
"182","2020-08-01","Independent Sector","Orthopaedic","Outpatient appointments","738"
"183","2020-08-01","Independent Sector","Orthopaedic","Cost (£)","14776580.082928"
"184","2020-08-01","NHS","Orthopaedic","Inpatient admissions","16365"
"185","2020-08-01","NHS","Orthopaedic","Outpatient appointments","14646"
"186","2020-08-01","NHS","Orthopaedic","Cost (£)","63449627.078427"
"187","2020-09-01","Independent Sector","Orthopaedic","Inpatient admissions","6691"
"188","2020-09-01","Independent Sector","Orthopaedic","Outpatient appointments","1179"
"189","2020-09-01","Independent Sector","Orthopaedic","Cost (£)","22934344.764931"
"190","2020-09-01","NHS","Orthopaedic","Inpatient admissions","23227"
"191","2020-09-01","NHS","Orthopaedic","Outpatient appointments","18373"
"192","2020-09-01","NHS","Orthopaedic","Cost (£)","85919529.49518"
"193","2020-10-01","Independent Sector","Orthopaedic","Inpatient admissions","8833"
"194","2020-10-01","Independent Sector","Orthopaedic","Outpatient appointments","1405"
"195","2020-10-01","Independent Sector","Orthopaedic","Cost (£)","31817116.86093"
"196","2020-10-01","NHS","Orthopaedic","Inpatient admissions","27684"
"197","2020-10-01","NHS","Orthopaedic","Outpatient appointments","17402"
"198","2020-10-01","NHS","Orthopaedic","Cost (£)","105512948.217667"
"199","2020-11-01","Independent Sector","Orthopaedic","Inpatient admissions","8523"
"200","2020-11-01","Independent Sector","Orthopaedic","Outpatient appointments","1367"
"201","2020-11-01","Independent Sector","Orthopaedic","Cost (£)","30616752.306172"
"202","2020-11-01","NHS","Orthopaedic","Inpatient admissions","24825"
"203","2020-11-01","NHS","Orthopaedic","Outpatient appointments","15203"
"204","2020-11-01","NHS","Orthopaedic","Cost (£)","91715749.314066"
"205","2020-12-01","Independent Sector","Orthopaedic","Inpatient admissions","7126"
"206","2020-12-01","Independent Sector","Orthopaedic","Outpatient appointments","1255"
"207","2020-12-01","Independent Sector","Orthopaedic","Cost (£)","24915838.099947"
"208","2020-12-01","NHS","Orthopaedic","Inpatient admissions","20352"
"209","2020-12-01","NHS","Orthopaedic","Outpatient appointments","13580"
"210","2020-12-01","NHS","Orthopaedic","Cost (£)","71111905.021913"
"211","2021-01-01","Independent Sector","Orthopaedic","Inpatient admissions","8063"
"212","2021-01-01","Independent Sector","Orthopaedic","Outpatient appointments","1087"
"213","2021-01-01","Independent Sector","Orthopaedic","Cost (£)","31091504.98184"
"214","2021-01-01","NHS","Orthopaedic","Inpatient admissions","8220"
"215","2021-01-01","NHS","Orthopaedic","Outpatient appointments","11776"
"216","2021-01-01","NHS","Orthopaedic","Cost (£)","26695094.912303"
"217","2021-02-01","Independent Sector","Orthopaedic","Inpatient admissions","9076"
"218","2021-02-01","Independent Sector","Orthopaedic","Outpatient appointments","1197"
"219","2021-02-01","Independent Sector","Orthopaedic","Cost (£)","34073701.16"
"220","2021-02-01","NHS","Orthopaedic","Inpatient admissions","8417"
"221","2021-02-01","NHS","Orthopaedic","Outpatient appointments","12015"
"222","2021-02-01","NHS","Orthopaedic","Cost (£)","25712078.212164"
"223","2021-03-01","Independent Sector","Orthopaedic","Inpatient admissions","11494"
"224","2021-03-01","Independent Sector","Orthopaedic","Outpatient appointments","1541"
"225","2021-03-01","Independent Sector","Orthopaedic","Cost (£)","44947365.763343"
"226","2021-03-01","NHS","Orthopaedic","Inpatient admissions","17042"
"227","2021-03-01","NHS","Orthopaedic","Outpatient appointments","15718"
"228","2021-03-01","NHS","Orthopaedic","Cost (£)","56107694.949422"
"229","2021-04-01","Independent Sector","Orthopaedic","Inpatient admissions","10717"
"230","2021-04-01","Independent Sector","Orthopaedic","Outpatient appointments","1571"
"231","2021-04-01","Independent Sector","Orthopaedic","Cost (£)","44970632.91"
"232","2021-04-01","NHS","Orthopaedic","Inpatient admissions","22989"
"233","2021-04-01","NHS","Orthopaedic","Outpatient appointments","16854"
"234","2021-04-01","NHS","Orthopaedic","Cost (£)","83178944.24239"
"235","2021-05-01","Independent Sector","Orthopaedic","Inpatient admissions","11087"
"236","2021-05-01","Independent Sector","Orthopaedic","Outpatient appointments","1750"
"237","2021-05-01","Independent Sector","Orthopaedic","Cost (£)","47024435.41"
"238","2021-05-01","NHS","Orthopaedic","Inpatient admissions","28227"
"239","2021-05-01","NHS","Orthopaedic","Outpatient appointments","17405"
"240","2021-05-01","NHS","Orthopaedic","Cost (£)","108277807.593453"
"241","2021-06-01","Independent Sector","Orthopaedic","Inpatient admissions","10972"
"242","2021-06-01","Independent Sector","Orthopaedic","Outpatient appointments","1976"
"243","2021-06-01","Independent Sector","Orthopaedic","Cost (£)","45641532.81"
"244","2021-06-01","NHS","Orthopaedic","Inpatient admissions","30452"
"245","2021-06-01","NHS","Orthopaedic","Outpatient appointments","21543"
"246","2021-06-01","NHS","Orthopaedic","Cost (£)","111895648.641115"
"247","2021-07-01","Independent Sector","Orthopaedic","Inpatient admissions","11224"
"248","2021-07-01","Independent Sector","Orthopaedic","Outpatient appointments","1826"
"249","2021-07-01","Independent Sector","Orthopaedic","Cost (£)","47398217.64"
"250","2021-07-01","NHS","Orthopaedic","Inpatient admissions","29417"
"251","2021-07-01","NHS","Orthopaedic","Outpatient appointments","20565"
"252","2021-07-01","NHS","Orthopaedic","Cost (£)","111780892.717432"
"253","2021-08-01","Independent Sector","Orthopaedic","Inpatient admissions","10195"
"254","2021-08-01","Independent Sector","Orthopaedic","Outpatient appointments","1704"
"255","2021-08-01","Independent Sector","Orthopaedic","Cost (£)","44438513.79"
"256","2021-08-01","NHS","Orthopaedic","Inpatient admissions","24302"
"257","2021-08-01","NHS","Orthopaedic","Outpatient appointments","17990"
"258","2021-08-01","NHS","Orthopaedic","Cost (£)","92537480.875425"
"259","2021-09-01","Independent Sector","Orthopaedic","Inpatient admissions","11039"
"260","2021-09-01","Independent Sector","Orthopaedic","Outpatient appointments","1875"
"261","2021-09-01","Independent Sector","Orthopaedic","Cost (£)","46500252.6"
"262","2021-09-01","NHS","Orthopaedic","Inpatient admissions","26184"
"263","2021-09-01","NHS","Orthopaedic","Outpatient appointments","20523"
"264","2021-09-01","NHS","Orthopaedic","Cost (£)","96547815.878086"
"265","2021-10-01","Independent Sector","Orthopaedic","Inpatient admissions","11045"
"266","2021-10-01","Independent Sector","Orthopaedic","Outpatient appointments","1742"
"267","2021-10-01","Independent Sector","Orthopaedic","Cost (£)","47978693.97"
"268","2021-10-01","NHS","Orthopaedic","Inpatient admissions","26391"
"269","2021-10-01","NHS","Orthopaedic","Outpatient appointments","18180"
"270","2021-10-01","NHS","Orthopaedic","Cost (£)","100202824.1579"
"271","2021-11-01","Independent Sector","Orthopaedic","Inpatient admissions","11321"
"272","2021-11-01","Independent Sector","Orthopaedic","Outpatient appointments","1880"
"273","2021-11-01","Independent Sector","Orthopaedic","Cost (£)","48485626.37"
"274","2021-11-01","NHS","Orthopaedic","Inpatient admissions","29182"
"275","2021-11-01","NHS","Orthopaedic","Outpatient appointments","18276"
"276","2021-11-01","NHS","Orthopaedic","Cost (£)","105366537.929845"
"277","2021-12-01","Independent Sector","Orthopaedic","Inpatient admissions","9079"
"278","2021-12-01","Independent Sector","Orthopaedic","Outpatient appointments","1762"
"279","2021-12-01","Independent Sector","Orthopaedic","Cost (£)","39125387.11"
"280","2021-12-01","NHS","Orthopaedic","Inpatient admissions","23196"
"281","2021-12-01","NHS","Orthopaedic","Outpatient appointments","15894"
"282","2021-12-01","NHS","Orthopaedic","Cost (£)","86065105.896392"
"283","2022-01-01","Independent Sector","Orthopaedic","Inpatient admissions","9816"
"284","2022-01-01","Independent Sector","Orthopaedic","Outpatient appointments","1843"
"285","2022-01-01","Independent Sector","Orthopaedic","Cost (£)","41464214.44"
"286","2022-01-01","NHS","Orthopaedic","Inpatient admissions","20022"
"287","2022-01-01","NHS","Orthopaedic","Outpatient appointments","15614"
"288","2022-01-01","NHS","Orthopaedic","Cost (£)","69844578.152628"
"289","2022-02-01","Independent Sector","Orthopaedic","Inpatient admissions","11047"
"290","2022-02-01","Independent Sector","Orthopaedic","Outpatient appointments","1751"
"291","2022-02-01","Independent Sector","Orthopaedic","Cost (£)","47346090.98"
"292","2022-02-01","NHS","Orthopaedic","Inpatient admissions","24380"
"293","2022-02-01","NHS","Orthopaedic","Outpatient appointments","15144"
"294","2022-02-01","NHS","Orthopaedic","Cost (£)","87995079.437425"
"295","2022-03-01","Independent Sector","Orthopaedic","Inpatient admissions","12697"
"296","2022-03-01","Independent Sector","Orthopaedic","Outpatient appointments","2266"
"297","2022-03-01","Independent Sector","Orthopaedic","Cost (£)","53412427.1"
"298","2022-03-01","NHS","Orthopaedic","Inpatient admissions","27879"
"299","2022-03-01","NHS","Orthopaedic","Outpatient appointments","16499"
"300","2022-03-01","NHS","Orthopaedic","Cost (£)","101542300.710168"
"301","2022-04-01","Independent Sector","Orthopaedic","Inpatient admissions","10732"
"302","2022-04-01","Independent Sector","Orthopaedic","Outpatient appointments","1814"
"303","2022-04-01","Independent Sector","Orthopaedic","Cost (£)","45973962.27"
"304","2022-04-01","NHS","Orthopaedic","Inpatient admissions","23633"
"305","2022-04-01","NHS","Orthopaedic","Outpatient appointments","15636"
"306","2022-04-01","NHS","Orthopaedic","Cost (£)","88043887.560116"
"307","2022-05-01","Independent Sector","Orthopaedic","Inpatient admissions","11939"
"308","2022-05-01","Independent Sector","Orthopaedic","Outpatient appointments","2183"
"309","2022-05-01","Independent Sector","Orthopaedic","Cost (£)","51439504.37"
"310","2022-05-01","NHS","Orthopaedic","Inpatient admissions","28745"
"311","2022-05-01","NHS","Orthopaedic","Outpatient appointments","18373"
"312","2022-05-01","NHS","Orthopaedic","Cost (£)","107098226.434282"
"313","2022-06-01","Independent Sector","Orthopaedic","Inpatient admissions","11521"
"314","2022-06-01","Independent Sector","Orthopaedic","Outpatient appointments","2060"
"315","2022-06-01","Independent Sector","Orthopaedic","Cost (£)","49253477.58"
"316","2022-06-01","NHS","Orthopaedic","Inpatient admissions","26165"
"317","2022-06-01","NHS","Orthopaedic","Outpatient appointments","17784"
"318","2022-06-01","NHS","Orthopaedic","Cost (£)","100484764.832612"
"319","2022-07-01","Independent Sector","Orthopaedic","Inpatient admissions","11717"
"320","2022-07-01","Independent Sector","Orthopaedic","Outpatient appointments","1901"
"321","2022-07-01","Independent Sector","Orthopaedic","Cost (£)","51560660.18"
"322","2022-07-01","NHS","Orthopaedic","Inpatient admissions","25848"
"323","2022-07-01","NHS","Orthopaedic","Outpatient appointments","16504"
"324","2022-07-01","NHS","Orthopaedic","Cost (£)","98748417.342304"
"325","2022-08-01","Independent Sector","Orthopaedic","Inpatient admissions","11853"
"326","2022-08-01","Independent Sector","Orthopaedic","Outpatient appointments","1995"
"327","2022-08-01","Independent Sector","Orthopaedic","Cost (£)","51091895.74"
"328","2022-08-01","NHS","Orthopaedic","Inpatient admissions","26408"
"329","2022-08-01","NHS","Orthopaedic","Outpatient appointments","17091"
"330","2022-08-01","NHS","Orthopaedic","Cost (£)","100767304.876297"
"331","2022-09-01","Independent Sector","Orthopaedic","Inpatient admissions","12615"
"332","2022-09-01","Independent Sector","Orthopaedic","Outpatient appointments","2090"
"333","2022-09-01","Independent Sector","Orthopaedic","Cost (£)","54326155.19"
"334","2022-09-01","NHS","Orthopaedic","Inpatient admissions","27674"
"335","2022-09-01","NHS","Orthopaedic","Outpatient appointments","17021"
"336","2022-09-01","NHS","Orthopaedic","Cost (£)","103173005.815156"
"337","2022-10-01","Independent Sector","Orthopaedic","Inpatient admissions","12777"
"338","2022-10-01","Independent Sector","Orthopaedic","Outpatient appointments","2108"
"339","2022-10-01","Independent Sector","Orthopaedic","Cost (£)","56011987.04"
"340","2022-10-01","NHS","Orthopaedic","Inpatient admissions","27760"
"341","2022-10-01","NHS","Orthopaedic","Outpatient appointments","15825"
"342","2022-10-01","NHS","Orthopaedic","Cost (£)","103583598.775713"
