"","der_activity_month","type","speciality","name","value"
"47","2018-09-01","NHS","Ophthalmology","Outpatient appointments","217918"
"48","2018-09-01","NHS","Ophthalmology","Cost (£)","51596304.399638"
"49","2018-10-01","Independent Sector","Ophthalmology","Inpatient admissions","10850"
"50","2018-10-01","Independent Sector","Ophthalmology","Outpatient appointments","5127"
"51","2018-10-01","Independent Sector","Ophthalmology","Cost (£)","9275980.88"
"52","2018-10-01","NHS","Ophthalmology","Inpatient admissions","52008"
"53","2018-10-01","NHS","Ophthalmology","Outpatient appointments","250082"
"54","2018-10-01","NHS","Ophthalmology","Cost (£)","58870368.161629"
"55","2018-11-01","Independent Sector","Ophthalmology","Inpatient admissions","11312"
"56","2018-11-01","Independent Sector","Ophthalmology","Outpatient appointments","5163"
"57","2018-11-01","Independent Sector","Ophthalmology","Cost (£)","9652152.88"
"58","2018-11-01","NHS","Ophthalmology","Inpatient admissions","50904"
"59","2018-11-01","NHS","Ophthalmology","Outpatient appointments","239488"
"60","2018-11-01","NHS","Ophthalmology","Cost (£)","56177640.767453"
"61","2018-12-01","Independent Sector","Ophthalmology","Inpatient admissions","8858"
"62","2018-12-01","Independent Sector","Ophthalmology","Outpatient appointments","4317"
"63","2018-12-01","Independent Sector","Ophthalmology","Cost (£)","7500660"
"64","2018-12-01","NHS","Ophthalmology","Inpatient admissions","40270"
"65","2018-12-01","NHS","Ophthalmology","Outpatient appointments","194740"
"66","2018-12-01","NHS","Ophthalmology","Cost (£)","46921325.330967"
"67","2019-01-01","Independent Sector","Ophthalmology","Inpatient admissions","11842"
"68","2019-01-01","Independent Sector","Ophthalmology","Outpatient appointments","5294"
"69","2019-01-01","Independent Sector","Ophthalmology","Cost (£)","10035576.88"
"70","2019-01-01","NHS","Ophthalmology","Inpatient admissions","50941"
"71","2019-01-01","NHS","Ophthalmology","Outpatient appointments","248993"
"72","2019-01-01","NHS","Ophthalmology","Cost (£)","58568928.721555"
"73","2019-02-01","Independent Sector","Ophthalmology","Inpatient admissions","11143"
"74","2019-02-01","Independent Sector","Ophthalmology","Outpatient appointments","4993"
"75","2019-02-01","Independent Sector","Ophthalmology","Cost (£)","9343400"
"76","2019-02-01","NHS","Ophthalmology","Inpatient admissions","46854"
"77","2019-02-01","NHS","Ophthalmology","Outpatient appointments","219030"
"78","2019-02-01","NHS","Ophthalmology","Cost (£)","54149357.204623"
"79","2019-03-01","Independent Sector","Ophthalmology","Inpatient admissions","12474"
"80","2019-03-01","Independent Sector","Ophthalmology","Outpatient appointments","5564"
"81","2019-03-01","Independent Sector","Ophthalmology","Cost (£)","10446204.38"
"82","2019-03-01","NHS","Ophthalmology","Inpatient admissions","49446"
"83","2019-03-01","NHS","Ophthalmology","Outpatient appointments","230923"
"84","2019-03-01","NHS","Ophthalmology","Cost (£)","55727082.885361"
"85","2019-04-01","Independent Sector","Ophthalmology","Inpatient admissions","10045"
"86","2019-04-01","Independent Sector","Ophthalmology","Outpatient appointments","5221"
"87","2019-04-01","Independent Sector","Ophthalmology","Cost (£)","8411905.94"
"88","2019-04-01","NHS","Ophthalmology","Inpatient admissions","45947"
"89","2019-04-01","NHS","Ophthalmology","Outpatient appointments","217577"
"90","2019-04-01","NHS","Ophthalmology","Cost (£)","54334190.632217"
"91","2019-05-01","Independent Sector","Ophthalmology","Inpatient admissions","12195"
"92","2019-05-01","Independent Sector","Ophthalmology","Outpatient appointments","5983"
"93","2019-05-01","Independent Sector","Ophthalmology","Cost (£)","10087967"
"94","2019-05-01","NHS","Ophthalmology","Inpatient admissions","48880"
"95","2019-05-01","NHS","Ophthalmology","Outpatient appointments","232170"
"96","2019-05-01","NHS","Ophthalmology","Cost (£)","57730700.592899"
"97","2019-06-01","Independent Sector","Ophthalmology","Inpatient admissions","12648"
"98","2019-06-01","Independent Sector","Ophthalmology","Outpatient appointments","5441"
"99","2019-06-01","Independent Sector","Ophthalmology","Cost (£)","10587117.87"
"100","2019-06-01","NHS","Ophthalmology","Inpatient admissions","47347"
"101","2019-06-01","NHS","Ophthalmology","Outpatient appointments","226316"
"102","2019-06-01","NHS","Ophthalmology","Cost (£)","55487590.253597"
"103","2019-07-01","Independent Sector","Ophthalmology","Inpatient admissions","13950"
"104","2019-07-01","Independent Sector","Ophthalmology","Outpatient appointments","6791"
"105","2019-07-01","Independent Sector","Ophthalmology","Cost (£)","11752913.87"
"106","2019-07-01","NHS","Ophthalmology","Inpatient admissions","52186"
"107","2019-07-01","NHS","Ophthalmology","Outpatient appointments","248650"
"108","2019-07-01","NHS","Ophthalmology","Cost (£)","60220186.158507"
"109","2019-08-01","Independent Sector","Ophthalmology","Inpatient admissions","12126"
"110","2019-08-01","Independent Sector","Ophthalmology","Outpatient appointments","6437"
"111","2019-08-01","Independent Sector","Ophthalmology","Cost (£)","10307726.94"
"112","2019-08-01","NHS","Ophthalmology","Inpatient admissions","45287"
"113","2019-08-01","NHS","Ophthalmology","Outpatient appointments","218688"
"114","2019-08-01","NHS","Ophthalmology","Cost (£)","52894126.438804"
"115","2019-09-01","Independent Sector","Ophthalmology","Inpatient admissions","13964"
"116","2019-09-01","Independent Sector","Ophthalmology","Outpatient appointments","7217"
"117","2019-09-01","Independent Sector","Ophthalmology","Cost (£)","11880254"
"118","2019-09-01","NHS","Ophthalmology","Inpatient admissions","48131"
"119","2019-09-01","NHS","Ophthalmology","Outpatient appointments","234576"
"120","2019-09-01","NHS","Ophthalmology","Cost (£)","56170883.05041"
"121","2019-10-01","Independent Sector","Ophthalmology","Inpatient admissions","14595"
"122","2019-10-01","Independent Sector","Ophthalmology","Outpatient appointments","6894"
"123","2019-10-01","Independent Sector","Ophthalmology","Cost (£)","12278112"
"124","2019-10-01","NHS","Ophthalmology","Inpatient admissions","52890"
"125","2019-10-01","NHS","Ophthalmology","Outpatient appointments","259560"
"126","2019-10-01","NHS","Ophthalmology","Cost (£)","59835793.515485"
"127","2019-11-01","Independent Sector","Ophthalmology","Inpatient admissions","14785"
"128","2019-11-01","Independent Sector","Ophthalmology","Outpatient appointments","7971"
"129","2019-11-01","Independent Sector","Ophthalmology","Cost (£)","12596222"
"130","2019-11-01","NHS","Ophthalmology","Inpatient admissions","51263"
"131","2019-11-01","NHS","Ophthalmology","Outpatient appointments","242412"
"132","2019-11-01","NHS","Ophthalmology","Cost (£)","58064968.989932"
"133","2019-12-01","Independent Sector","Ophthalmology","Inpatient admissions","11478"
"134","2019-12-01","Independent Sector","Ophthalmology","Outpatient appointments","6393"
"135","2019-12-01","Independent Sector","Ophthalmology","Cost (£)","9567969.4"
"136","2019-12-01","NHS","Ophthalmology","Inpatient admissions","43158"
"137","2019-12-01","NHS","Ophthalmology","Outpatient appointments","213684"
"138","2019-12-01","NHS","Ophthalmology","Cost (£)","48285370.741112"
"139","2020-01-01","Independent Sector","Ophthalmology","Inpatient admissions","14959"
"140","2020-01-01","Independent Sector","Ophthalmology","Outpatient appointments","8848"
"141","2020-01-01","Independent Sector","Ophthalmology","Cost (£)","12806846.87"
"142","2020-01-01","NHS","Ophthalmology","Inpatient admissions","51671"
"143","2020-01-01","NHS","Ophthalmology","Outpatient appointments","257271"
"144","2020-01-01","NHS","Ophthalmology","Cost (£)","57428223.509216"
"145","2020-02-01","Independent Sector","Ophthalmology","Inpatient admissions","14303"
"146","2020-02-01","Independent Sector","Ophthalmology","Outpatient appointments","8446"
"147","2020-02-01","Independent Sector","Ophthalmology","Cost (£)","12242472.8"
"148","2020-02-01","NHS","Ophthalmology","Inpatient admissions","47034"
"149","2020-02-01","NHS","Ophthalmology","Outpatient appointments","231747"
"150","2020-02-01","NHS","Ophthalmology","Cost (£)","55856818.374536"
"151","2020-03-01","Independent Sector","Ophthalmology","Inpatient admissions","11000"
"152","2020-03-01","Independent Sector","Ophthalmology","Outpatient appointments","6470"
"153","2020-03-01","Independent Sector","Ophthalmology","Cost (£)","9266272"
"154","2020-03-01","NHS","Ophthalmology","Inpatient admissions","33841"
"155","2020-03-01","NHS","Ophthalmology","Outpatient appointments","166815"
"156","2020-03-01","NHS","Ophthalmology","Cost (£)","39499250.305667"
"157","2020-04-01","Independent Sector","Ophthalmology","Inpatient admissions","1367"
"158","2020-04-01","Independent Sector","Ophthalmology","Outpatient appointments","1973"
"159","2020-04-01","Independent Sector","Ophthalmology","Cost (£)","704453"
"160","2020-04-01","NHS","Ophthalmology","Inpatient admissions","5752"
"161","2020-04-01","NHS","Ophthalmology","Outpatient appointments","47009"
"162","2020-04-01","NHS","Ophthalmology","Cost (£)","7792263.199256"
"163","2020-05-01","Independent Sector","Ophthalmology","Inpatient admissions","1513"
"164","2020-05-01","Independent Sector","Ophthalmology","Outpatient appointments","2040"
"165","2020-05-01","Independent Sector","Ophthalmology","Cost (£)","793072"
"166","2020-05-01","NHS","Ophthalmology","Inpatient admissions","7543"
"167","2020-05-01","NHS","Ophthalmology","Outpatient appointments","64185"
"168","2020-05-01","NHS","Ophthalmology","Cost (£)","11722927.289373"
"169","2020-06-01","Independent Sector","Ophthalmology","Inpatient admissions","2646"
"170","2020-06-01","Independent Sector","Ophthalmology","Outpatient appointments","3860"
"171","2020-06-01","Independent Sector","Ophthalmology","Cost (£)","1669438"
"172","2020-06-01","NHS","Ophthalmology","Inpatient admissions","15006"
"173","2020-06-01","NHS","Ophthalmology","Outpatient appointments","105353"
"174","2020-06-01","NHS","Ophthalmology","Cost (£)","22849993.467173"
"175","2020-07-01","Independent Sector","Ophthalmology","Inpatient admissions","7215"
"176","2020-07-01","Independent Sector","Ophthalmology","Outpatient appointments","6116"
"177","2020-07-01","Independent Sector","Ophthalmology","Cost (£)","5970288"
"178","2020-07-01","NHS","Ophthalmology","Inpatient admissions","24032"
"179","2020-07-01","NHS","Ophthalmology","Outpatient appointments","139596"
"180","2020-07-01","NHS","Ophthalmology","Cost (£)","33479781.969275"
"181","2020-08-01","Independent Sector","Ophthalmology","Inpatient admissions","9363"
"182","2020-08-01","Independent Sector","Ophthalmology","Outpatient appointments","7833"
"183","2020-08-01","Independent Sector","Ophthalmology","Cost (£)","7940222"
"184","2020-08-01","NHS","Ophthalmology","Inpatient admissions","26698"
"185","2020-08-01","NHS","Ophthalmology","Outpatient appointments","145474"
"186","2020-08-01","NHS","Ophthalmology","Cost (£)","34801548.932991"
"187","2020-09-01","Independent Sector","Ophthalmology","Inpatient admissions","11733"
"188","2020-09-01","Independent Sector","Ophthalmology","Outpatient appointments","9962"
"189","2020-09-01","Independent Sector","Ophthalmology","Cost (£)","10159038"
"190","2020-09-01","NHS","Ophthalmology","Inpatient admissions","38076"
"191","2020-09-01","NHS","Ophthalmology","Outpatient appointments","182826"
"192","2020-09-01","NHS","Ophthalmology","Cost (£)","46548586.309121"
"193","2020-10-01","Independent Sector","Ophthalmology","Inpatient admissions","14661"
"194","2020-10-01","Independent Sector","Ophthalmology","Outpatient appointments","10163"
"195","2020-10-01","Independent Sector","Ophthalmology","Cost (£)","12142400"
"196","2020-10-01","NHS","Ophthalmology","Inpatient admissions","40008"
"197","2020-10-01","NHS","Ophthalmology","Outpatient appointments","193476"
"198","2020-10-01","NHS","Ophthalmology","Cost (£)","46468012.675677"
"199","2020-11-01","Independent Sector","Ophthalmology","Inpatient admissions","15450"
"200","2020-11-01","Independent Sector","Ophthalmology","Outpatient appointments","10208"
"201","2020-11-01","Independent Sector","Ophthalmology","Cost (£)","13211652.487532"
"202","2020-11-01","NHS","Ophthalmology","Inpatient admissions","38976"
"203","2020-11-01","NHS","Ophthalmology","Outpatient appointments","190710"
"204","2020-11-01","NHS","Ophthalmology","Cost (£)","45676085.767067"
"205","2020-12-01","Independent Sector","Ophthalmology","Inpatient admissions","12853"
"206","2020-12-01","Independent Sector","Ophthalmology","Outpatient appointments","8703"
"207","2020-12-01","Independent Sector","Ophthalmology","Cost (£)","10767169.87"
"208","2020-12-01","NHS","Ophthalmology","Inpatient admissions","33722"
"209","2020-12-01","NHS","Ophthalmology","Outpatient appointments","180327"
"210","2020-12-01","NHS","Ophthalmology","Cost (£)","40567959.774135"
"211","2021-01-01","Independent Sector","Ophthalmology","Inpatient admissions","15021"
"212","2021-01-01","Independent Sector","Ophthalmology","Outpatient appointments","9318"
"213","2021-01-01","Independent Sector","Ophthalmology","Cost (£)","11610867"
"214","2021-01-01","NHS","Ophthalmology","Inpatient admissions","21655"
"215","2021-01-01","NHS","Ophthalmology","Outpatient appointments","164108"
"216","2021-01-01","NHS","Ophthalmology","Cost (£)","30182743.922226"
"217","2021-02-01","Independent Sector","Ophthalmology","Inpatient admissions","16944"
"218","2021-02-01","Independent Sector","Ophthalmology","Outpatient appointments","9514"
"219","2021-02-01","Independent Sector","Ophthalmology","Cost (£)","14245991"
"220","2021-02-01","NHS","Ophthalmology","Inpatient admissions","21410"
"221","2021-02-01","NHS","Ophthalmology","Outpatient appointments","176743"
"222","2021-02-01","NHS","Ophthalmology","Cost (£)","31882796.946655"
"223","2021-03-01","Independent Sector","Ophthalmology","Inpatient admissions","19862"
"224","2021-03-01","Independent Sector","Ophthalmology","Outpatient appointments","12733"
"225","2021-03-01","Independent Sector","Ophthalmology","Cost (£)","17075312.87"
"226","2021-03-01","NHS","Ophthalmology","Inpatient admissions","35227"
"227","2021-03-01","NHS","Ophthalmology","Outpatient appointments","223338"
"228","2021-03-01","NHS","Ophthalmology","Cost (£)","48129944.094096"
"229","2021-04-01","Independent Sector","Ophthalmology","Inpatient admissions","18344"
"230","2021-04-01","Independent Sector","Ophthalmology","Outpatient appointments","14979"
"231","2021-04-01","Independent Sector","Ophthalmology","Cost (£)","16334532.5"
"232","2021-04-01","NHS","Ophthalmology","Inpatient admissions","36186"
"233","2021-04-01","NHS","Ophthalmology","Outpatient appointments","211249"
"234","2021-04-01","NHS","Ophthalmology","Cost (£)","46310773.500875"
"235","2021-05-01","Independent Sector","Ophthalmology","Inpatient admissions","19161"
"236","2021-05-01","Independent Sector","Ophthalmology","Outpatient appointments","13885"
"237","2021-05-01","Independent Sector","Ophthalmology","Cost (£)","16964928.67"
"238","2021-05-01","NHS","Ophthalmology","Inpatient admissions","38971"
"239","2021-05-01","NHS","Ophthalmology","Outpatient appointments","208114"
"240","2021-05-01","NHS","Ophthalmology","Cost (£)","47987381.150645"
"241","2021-06-01","Independent Sector","Ophthalmology","Inpatient admissions","21435"
"242","2021-06-01","Independent Sector","Ophthalmology","Outpatient appointments","15581"
"243","2021-06-01","Independent Sector","Ophthalmology","Cost (£)","19363156.74"
"244","2021-06-01","NHS","Ophthalmology","Inpatient admissions","44834"
"245","2021-06-01","NHS","Ophthalmology","Outpatient appointments","231316"
"246","2021-06-01","NHS","Ophthalmology","Cost (£)","53135662.199656"
"247","2021-07-01","Independent Sector","Ophthalmology","Inpatient admissions","21626"
"248","2021-07-01","Independent Sector","Ophthalmology","Outpatient appointments","15248"
"249","2021-07-01","Independent Sector","Ophthalmology","Cost (£)","18676884.97"
"250","2021-07-01","NHS","Ophthalmology","Inpatient admissions","42200"
"251","2021-07-01","NHS","Ophthalmology","Outpatient appointments","220666"
"252","2021-07-01","NHS","Ophthalmology","Cost (£)","48906958.734523"
"253","2021-08-01","Independent Sector","Ophthalmology","Inpatient admissions","19643"
"254","2021-08-01","Independent Sector","Ophthalmology","Outpatient appointments","11728"
"255","2021-08-01","Independent Sector","Ophthalmology","Cost (£)","17735617.665492"
"256","2021-08-01","NHS","Ophthalmology","Inpatient admissions","37797"
"257","2021-08-01","NHS","Ophthalmology","Outpatient appointments","207856"
"258","2021-08-01","NHS","Ophthalmology","Cost (£)","44482505.817721"
"259","2021-09-01","Independent Sector","Ophthalmology","Inpatient admissions","21115"
"260","2021-09-01","Independent Sector","Ophthalmology","Outpatient appointments","12776"
"261","2021-09-01","Independent Sector","Ophthalmology","Cost (£)","18812497.892814"
"262","2021-09-01","NHS","Ophthalmology","Inpatient admissions","42554"
"263","2021-09-01","NHS","Ophthalmology","Outpatient appointments","232616"
"264","2021-09-01","NHS","Ophthalmology","Cost (£)","51122952.715204"
"265","2021-10-01","Independent Sector","Ophthalmology","Inpatient admissions","22120"
"266","2021-10-01","Independent Sector","Ophthalmology","Outpatient appointments","13248"
"267","2021-10-01","Independent Sector","Ophthalmology","Cost (£)","20069655.13878"
"268","2021-10-01","NHS","Ophthalmology","Inpatient admissions","40561"
"269","2021-10-01","NHS","Ophthalmology","Outpatient appointments","221626"
"270","2021-10-01","NHS","Ophthalmology","Cost (£)","47650891.601707"
"271","2021-11-01","Independent Sector","Ophthalmology","Inpatient admissions","23275"
"272","2021-11-01","Independent Sector","Ophthalmology","Outpatient appointments","13947"
"273","2021-11-01","Independent Sector","Ophthalmology","Cost (£)","21020832.045058"
"274","2021-11-01","NHS","Ophthalmology","Inpatient admissions","44330"
"275","2021-11-01","NHS","Ophthalmology","Outpatient appointments","241247"
"276","2021-11-01","NHS","Ophthalmology","Cost (£)","51343652.840222"
"277","2021-12-01","Independent Sector","Ophthalmology","Inpatient admissions","18947"
"278","2021-12-01","Independent Sector","Ophthalmology","Outpatient appointments","12581"
"279","2021-12-01","Independent Sector","Ophthalmology","Cost (£)","16874613.546822"
"280","2021-12-01","NHS","Ophthalmology","Inpatient admissions","35335"
"281","2021-12-01","NHS","Ophthalmology","Outpatient appointments","200995"
"282","2021-12-01","NHS","Ophthalmology","Cost (£)","43670867.367764"
"283","2022-01-01","Independent Sector","Ophthalmology","Inpatient admissions","21932"
"284","2022-01-01","Independent Sector","Ophthalmology","Outpatient appointments","13750"
"285","2022-01-01","Independent Sector","Ophthalmology","Cost (£)","19654350.819538"
"286","2022-01-01","NHS","Ophthalmology","Inpatient admissions","37130"
"287","2022-01-01","NHS","Ophthalmology","Outpatient appointments","219817"
"288","2022-01-01","NHS","Ophthalmology","Cost (£)","46246136.580686"
"289","2022-02-01","Independent Sector","Ophthalmology","Inpatient admissions","23782"
"290","2022-02-01","Independent Sector","Ophthalmology","Outpatient appointments","13743"
"291","2022-02-01","Independent Sector","Ophthalmology","Cost (£)","21397862.51731"
"292","2022-02-01","NHS","Ophthalmology","Inpatient admissions","37860"
"293","2022-02-01","NHS","Ophthalmology","Outpatient appointments","219478"
"294","2022-02-01","NHS","Ophthalmology","Cost (£)","47207024.492632"
"295","2022-03-01","Independent Sector","Ophthalmology","Inpatient admissions","26623"
"296","2022-03-01","Independent Sector","Ophthalmology","Outpatient appointments","16477"
"297","2022-03-01","Independent Sector","Ophthalmology","Cost (£)","23864894.289646"
"298","2022-03-01","NHS","Ophthalmology","Inpatient admissions","43608"
"299","2022-03-01","NHS","Ophthalmology","Outpatient appointments","246985"
"300","2022-03-01","NHS","Ophthalmology","Cost (£)","53835275.73185"
"301","2022-04-01","Independent Sector","Ophthalmology","Inpatient admissions","22691"
"302","2022-04-01","Independent Sector","Ophthalmology","Outpatient appointments","15542"
"303","2022-04-01","Independent Sector","Ophthalmology","Cost (£)","20867782.32376"
"304","2022-04-01","NHS","Ophthalmology","Inpatient admissions","36097"
"305","2022-04-01","NHS","Ophthalmology","Outpatient appointments","213044"
"306","2022-04-01","NHS","Ophthalmology","Cost (£)","44977257.149025"
"307","2022-05-01","Independent Sector","Ophthalmology","Inpatient admissions","26330"
"308","2022-05-01","Independent Sector","Ophthalmology","Outpatient appointments","16818"
"309","2022-05-01","Independent Sector","Ophthalmology","Cost (£)","24463263.135752"
"310","2022-05-01","NHS","Ophthalmology","Inpatient admissions","42878"
"311","2022-05-01","NHS","Ophthalmology","Outpatient appointments","244961"
"312","2022-05-01","NHS","Ophthalmology","Cost (£)","53741506.066013"
"313","2022-06-01","Independent Sector","Ophthalmology","Inpatient admissions","27077"
"314","2022-06-01","Independent Sector","Ophthalmology","Outpatient appointments","16058"
"315","2022-06-01","Independent Sector","Ophthalmology","Cost (£)","24711877.893956"
"316","2022-06-01","NHS","Ophthalmology","Inpatient admissions","39773"
"317","2022-06-01","NHS","Ophthalmology","Outpatient appointments","227164"
"318","2022-06-01","NHS","Ophthalmology","Cost (£)","50541827.08005"
"319","2022-07-01","Independent Sector","Ophthalmology","Inpatient admissions","26817"
"320","2022-07-01","Independent Sector","Ophthalmology","Outpatient appointments","17105"
"321","2022-07-01","Independent Sector","Ophthalmology","Cost (£)","24922614.24762"
"322","2022-07-01","NHS","Ophthalmology","Inpatient admissions","39656"
"323","2022-07-01","NHS","Ophthalmology","Outpatient appointments","226344"
"324","2022-07-01","NHS","Ophthalmology","Cost (£)","50838900.199217"
"325","2022-08-01","Independent Sector","Ophthalmology","Inpatient admissions","27890"
"326","2022-08-01","Independent Sector","Ophthalmology","Outpatient appointments","18111"
"327","2022-08-01","Independent Sector","Ophthalmology","Cost (£)","25286429.895072"
"328","2022-08-01","NHS","Ophthalmology","Inpatient admissions","41190"
"329","2022-08-01","NHS","Ophthalmology","Outpatient appointments","237793"
"330","2022-08-01","NHS","Ophthalmology","Cost (£)","53046856.37128"
"331","2022-09-01","Independent Sector","Ophthalmology","Inpatient admissions","31316"
"332","2022-09-01","Independent Sector","Ophthalmology","Outpatient appointments","18415"
"333","2022-09-01","Independent Sector","Ophthalmology","Cost (£)","28136425.11972"
"334","2022-09-01","NHS","Ophthalmology","Inpatient admissions","41521"
"335","2022-09-01","NHS","Ophthalmology","Outpatient appointments","238762"
"336","2022-09-01","NHS","Ophthalmology","Cost (£)","52965936.372187"
"337","2022-10-01","Independent Sector","Ophthalmology","Inpatient admissions","32818"
"338","2022-10-01","Independent Sector","Ophthalmology","Outpatient appointments","18678"
"339","2022-10-01","Independent Sector","Ophthalmology","Cost (£)","30159867.069594"
"340","2022-10-01","NHS","Ophthalmology","Inpatient admissions","41548"
"341","2022-10-01","NHS","Ophthalmology","Outpatient appointments","241494"
"342","2022-10-01","NHS","Ophthalmology","Cost (£)","52913838.024603"
