"","year","var_1","name","sector","value","prop"
"86","2020","50-100","Inpatient admissions","NHS","61045","18.7633897971667"
"87","2020","50-100","Outpatient appointments","Independent Sector","11085","19.7480937789496"
"88","2020","50-100","Outpatient appointments","NHS","118608","13.3662094364032"
"89","2020","100-150","Inpatient admissions","Independent Sector","2757","9.13367566672188"
"90","2020","100-150","Inpatient admissions","NHS","30286","9.30900193950347"
"91","2020","100-150","Outpatient appointments","Independent Sector","5678","10.1154421720231"
"92","2020","100-150","Outpatient appointments","NHS","83967","9.46243514557593"
"93","2020","150-200","Inpatient admissions","Independent Sector","1792","5.93672353818122"
"94","2020","150-200","Inpatient admissions","NHS","22188","6.81992125185575"
"95","2020","150-200","Outpatient appointments","Independent Sector","3910","6.96572365139315"
"96","2020","150-200","Outpatient appointments","NHS","67044","7.55534319315913"
"97","2020","200-250","Inpatient admissions","Independent Sector","2200","7.28838827232069"
"98","2020","200-250","Inpatient admissions","NHS","20255","6.22577541717767"
"99","2020","200-250","Outpatient appointments","Independent Sector","3249","5.78814223615763"
"100","2020","200-250","Outpatient appointments","NHS","65159","7.34291818989105"
"101","2020","250-300","Inpatient admissions","Independent Sector","1572","5.20788471094915"
"102","2020","250-300","Inpatient admissions","NHS","15750","4.84107444189327"
"103","2020","250-300","Outpatient appointments","Independent Sector","2568","4.57493052091499"
"104","2020","250-300","Outpatient appointments","NHS","64008","7.21320934174168"
"105","2020","300-350","Inpatient admissions","Independent Sector","868","2.87560046380653"
"106","2020","300-350","Inpatient admissions","NHS","10154","3.12103300844345"
"107","2020","300-350","Outpatient appointments","Independent Sector","1953","3.47929879569586"
"108","2020","300-350","Outpatient appointments","NHS","58372","6.57807548581655"
"109","2020","350-400","Inpatient admissions","Independent Sector","417","1.38148086798079"
"110","2020","350-400","Inpatient admissions","NHS","4906","1.50795626742403"
"111","2020","350-400","Outpatient appointments","Independent Sector","1714","3.0535167106107"
"112","2020","350-400","Outpatient appointments","NHS","52460","5.91183855248982"
"113","2020","400-450","Inpatient admissions","Independent Sector","146","0.483683948981282"
"114","2020","400-450","Inpatient admissions","NHS","2012","0.618428049339001"
"115","2020","400-450","Outpatient appointments","Independent Sector","1509","2.68830613553766"
"116","2020","400-450","Outpatient appointments","NHS","47133","5.31152662017733"
"117","2020","450-500","Inpatient admissions","Independent Sector","66","0.218651648169621"
"118","2020","450-500","Inpatient admissions","NHS","802","0.246510584279264"
"119","2020","450-500","Outpatient appointments","Independent Sector","1280","2.28033920045607"
"120","2020","450-500","Outpatient appointments","NHS","44416","5.00534161546679"
"121","2021","0-50","Inpatient admissions","Independent Sector","18525","39.7003986112897"
"122","2021","0-50","Inpatient admissions","NHS","206778","53.2543190036159"
"123","2021","0-50","Outpatient appointments","Independent Sector","39860","35.7812906758588"
"124","2021","0-50","Outpatient appointments","NHS","383679","33.4800474348447"
"125","2021","50-100","Inpatient admissions","Independent Sector","12190","26.1240409755261"
"126","2021","50-100","Inpatient admissions","NHS","84889","21.8626057215852"
"127","2021","50-100","Outpatient appointments","Independent Sector","28995","26.0280612931893"
"128","2021","50-100","Outpatient appointments","NHS","175131","15.282030518511"
"129","2021","100-150","Inpatient admissions","Independent Sector","6676","14.3071450002143"
"130","2021","100-150","Inpatient admissions","NHS","39014","10.0478000638708"
"131","2021","100-150","Outpatient appointments","Independent Sector","14980","13.4471584125531"
"132","2021","100-150","Outpatient appointments","NHS","121783","10.6268537416895"
"133","2021","150-200","Inpatient admissions","Independent Sector","3546","7.5993313617076"
"134","2021","150-200","Inpatient admissions","NHS","22412","5.77206374715414"
"135","2021","150-200","Outpatient appointments","Independent Sector","8573","7.6957602851013"
"136","2021","150-200","Outpatient appointments","NHS","100475","8.76750556067969"
"137","2021","200-250","Inpatient admissions","Independent Sector","1710","3.66465217950367"
"138","2021","200-250","Inpatient admissions","NHS","12669","3.26281793738604"
"139","2021","200-250","Outpatient appointments","Independent Sector","5596","5.02338441099112"
"140","2021","200-250","Outpatient appointments","NHS","82945","7.23782780523092"
"141","2021","250-300","Inpatient admissions","Independent Sector","1018","2.18164673610218"
"142","2021","250-300","Inpatient admissions","NHS","7356","1.89448960039559"
"143","2021","250-300","Outpatient appointments","Independent Sector","3618","3.24778498909326"
"144","2021","250-300","Outpatient appointments","NHS","66349","5.78965142020937"
"145","2021","300-350","Inpatient admissions","Independent Sector","932","1.997342591402"
"146","2021","300-350","Inpatient admissions","NHS","5247","1.3513304694502"
"147","2021","300-350","Outpatient appointments","Independent Sector","2738","2.45783175791524"
"148","2021","300-350","Outpatient appointments","NHS","59474","5.18973501583343"
"149","2021","350-400","Inpatient admissions","Independent Sector","857","1.83661223265184"
"150","2021","350-400","Inpatient admissions","NHS","3895","1.00313172832257"
"151","2021","350-400","Outpatient appointments","Independent Sector","2542","2.28188762915287"
"152","2021","350-400","Outpatient appointments","NHS","55949","4.8821415139534"
"153","2021","400-450","Inpatient admissions","Independent Sector","742","1.59015901590159"
"154","2021","400-450","Inpatient admissions","NHS","3263","0.840364269452257"
"155","2021","400-450","Outpatient appointments","Independent Sector","2378","2.13466907243333"
"156","2021","400-450","Outpatient appointments","NHS","51829","4.52262797416738"
"157","2021","450-500","Inpatient admissions","Independent Sector","466","0.998671295700999"
"158","2021","450-500","Inpatient admissions","NHS","2761","0.711077458767294"
"159","2021","450-500","Outpatient appointments","Independent Sector","2119","1.90217147371161"
"160","2021","450-500","Outpatient appointments","NHS","48379","4.22157901488054"
"161","2022","0-50","Inpatient admissions","Independent Sector","12934","33.1131592421915"
"162","2022","0-50","Inpatient admissions","NHS","184089","51.1589969903039"
"163","2022","0-50","Outpatient appointments","Independent Sector","42526","33.3498019840803"
"164","2022","0-50","Outpatient appointments","NHS","320342","29.3928416756586"
"165","2022","50-100","Inpatient admissions","Independent Sector","9884","25.3046594982079"
"166","2022","50-100","Inpatient admissions","NHS","86070","23.9191633989834"
"167","2022","50-100","Outpatient appointments","Independent Sector","33034","25.9059718464494"
"168","2022","50-100","Outpatient appointments","NHS","162461","14.9065387975013"
"169","2022","100-150","Inpatient admissions","Independent Sector","6561","16.7972350230415"
"170","2022","100-150","Inpatient admissions","NHS","39700","11.0327731722975"
"171","2022","100-150","Outpatient appointments","Independent Sector","18898","14.8202172293456"
"172","2022","100-150","Outpatient appointments","NHS","116794","10.7163829615438"
"173","2022","150-200","Inpatient admissions","Independent Sector","4059","10.3917050691244"
"174","2022","150-200","Inpatient admissions","NHS","20883","5.80346101151355"
"175","2022","150-200","Outpatient appointments","Independent Sector","11268","8.83660745794612"
"176","2022","150-200","Outpatient appointments","NHS","94357","8.65768572959562"
"177","2022","200-250","Inpatient admissions","Independent Sector","2283","5.84485407066052"
"178","2022","200-250","Inpatient admissions","NHS","11658","3.23980024288775"
"179","2022","200-250","Outpatient appointments","Independent Sector","7024","5.50837156412971"
"180","2022","200-250","Outpatient appointments","NHS","84284","7.7334419707413"
"181","2022","250-300","Inpatient admissions","Independent Sector","1527","3.90937019969278"
"182","2022","250-300","Inpatient admissions","NHS","7178","1.99479208641691"
"183","2022","250-300","Outpatient appointments","Independent Sector","4667","3.65996157314826"
"184","2022","250-300","Outpatient appointments","NHS","76110","6.98344013564995"
"185","2022","300-350","Inpatient admissions","Independent Sector","854","2.18637992831541"
"186","2022","300-350","Inpatient admissions","NHS","4710","1.30892598593252"
"187","2022","300-350","Outpatient appointments","Independent Sector","3534","2.77143865427597"
"188","2022","300-350","Outpatient appointments","NHS","69119","6.34198395396123"
"189","2022","350-400","Inpatient admissions","Independent Sector","503","1.28776241679467"
"190","2022","350-400","Inpatient admissions","NHS","2857","0.79397060335652"
"191","2022","350-400","Outpatient appointments","Independent Sector","2589","2.03034937066227"
"192","2022","350-400","Outpatient appointments","NHS","60947","5.59216562800496"
"193","2022","400-450","Inpatient admissions","Independent Sector","259","0.663082437275986"
"194","2022","400-450","Inpatient admissions","NHS","1589","0.441588830498253"
"195","2022","400-450","Outpatient appointments","Independent Sector","2087","1.63667019566326"
"196","2022","400-450","Outpatient appointments","NHS","54923","5.03943611312971"
"197","2022","450-500","Inpatient admissions","Independent Sector","196","0.50179211469534"
"198","2022","450-500","Inpatient admissions","NHS","1103","0.306527677809675"
"199","2022","450-500","Outpatient appointments","Independent Sector","1888","1.4806101242991"
"200","2022","450-500","Outpatient appointments","NHS","50527","4.63608303421344"
