"","der_activity_month","type","speciality","procedure_desc_short","n_spells_IP","n_spells_OP","all_activity"
"108","2018-10-01","NHS","Orthopaedic","Shoulder","4725","4795","9520"
"109","2018-11-01","Independent Sector","Orthopaedic","Elbow","268","124","392"
"110","2018-11-01","Independent Sector","Orthopaedic","Foot","1915","449","2364"
"111","2018-11-01","Independent Sector","Orthopaedic","Hand","2396","424","2820"
"112","2018-11-01","Independent Sector","Orthopaedic","Hip","3142","272","3414"
"113","2018-11-01","Independent Sector","Orthopaedic","Knee","5042","763","5805"
"114","2018-11-01","Independent Sector","Orthopaedic","Shoulder","1650","499","2149"
"115","2018-11-01","NHS","Orthopaedic","Elbow","1380","4549","5929"
"116","2018-11-01","NHS","Orthopaedic","Foot","6348","3092","9440"
"117","2018-11-01","NHS","Orthopaedic","Hand","9103","5820","14923"
"118","2018-11-01","NHS","Orthopaedic","Hip","8219","1524","9743"
"119","2018-11-01","NHS","Orthopaedic","Knee","12632","5162","17794"
"120","2018-11-01","NHS","Orthopaedic","Shoulder","4792","4252","9044"
"121","2018-12-01","Independent Sector","Orthopaedic","Elbow","193","112","305"
"122","2018-12-01","Independent Sector","Orthopaedic","Foot","1499","321","1820"
"123","2018-12-01","Independent Sector","Orthopaedic","Hand","1773","288","2061"
"124","2018-12-01","Independent Sector","Orthopaedic","Hip","2542","206","2748"
"125","2018-12-01","Independent Sector","Orthopaedic","Knee","4118","596","4714"
"126","2018-12-01","Independent Sector","Orthopaedic","Shoulder","1207","419","1626"
"127","2018-12-01","NHS","Orthopaedic","Elbow","1030","3969","4999"
"128","2018-12-01","NHS","Orthopaedic","Foot","5037","2442","7479"
"129","2018-12-01","NHS","Orthopaedic","Hand","7063","4846","11909"
"130","2018-12-01","NHS","Orthopaedic","Hip","6880","1342","8222"
"131","2018-12-01","NHS","Orthopaedic","Knee","10370","4345","14715"
"132","2018-12-01","NHS","Orthopaedic","Shoulder","3646","3282","6928"
"133","2019-01-01","Independent Sector","Orthopaedic","Elbow","245","116","361"
"134","2019-01-01","Independent Sector","Orthopaedic","Foot","1925","482","2407"
"135","2019-01-01","Independent Sector","Orthopaedic","Hand","2338","352","2690"
"136","2019-01-01","Independent Sector","Orthopaedic","Hip","2754","262","3016"
"137","2019-01-01","Independent Sector","Orthopaedic","Knee","4834","752","5586"
"138","2019-01-01","Independent Sector","Orthopaedic","Shoulder","1494","547","2041"
"139","2019-01-01","NHS","Orthopaedic","Elbow","1210","4495","5705"
"140","2019-01-01","NHS","Orthopaedic","Foot","6331","3097","9428"
"141","2019-01-01","NHS","Orthopaedic","Hand","8639","5814","14453"
"142","2019-01-01","NHS","Orthopaedic","Hip","6682","1583","8265"
"143","2019-01-01","NHS","Orthopaedic","Knee","10699","5193","15892"
"144","2019-01-01","NHS","Orthopaedic","Shoulder","4313","4025","8338"
"145","2019-02-01","Independent Sector","Orthopaedic","Elbow","215","94","309"
"146","2019-02-01","Independent Sector","Orthopaedic","Foot","1819","366","2185"
"147","2019-02-01","Independent Sector","Orthopaedic","Hand","2206","345","2551"
"148","2019-02-01","Independent Sector","Orthopaedic","Hip","2746","226","2972"
"149","2019-02-01","Independent Sector","Orthopaedic","Knee","4628","764","5392"
"150","2019-02-01","Independent Sector","Orthopaedic","Shoulder","1450","480","1930"
"151","2019-02-01","NHS","Orthopaedic","Elbow","1118","3920","5038"
"152","2019-02-01","NHS","Orthopaedic","Foot","5689","2627","8316"
"153","2019-02-01","NHS","Orthopaedic","Hand","7664","5230","12894"
"154","2019-02-01","NHS","Orthopaedic","Hip","6759","1460","8219"
"155","2019-02-01","NHS","Orthopaedic","Knee","10486","4503","14989"
"156","2019-02-01","NHS","Orthopaedic","Shoulder","3910","3741","7651"
"157","2019-03-01","Independent Sector","Orthopaedic","Elbow","279","99","378"
"158","2019-03-01","Independent Sector","Orthopaedic","Foot","1896","437","2333"
"159","2019-03-01","Independent Sector","Orthopaedic","Hand","2279","312","2591"
"160","2019-03-01","Independent Sector","Orthopaedic","Hip","3107","206","3313"
"161","2019-03-01","Independent Sector","Orthopaedic","Knee","5162","740","5902"
"162","2019-03-01","Independent Sector","Orthopaedic","Shoulder","1616","497","2113"
"163","2019-03-01","NHS","Orthopaedic","Elbow","1169","4176","5345"
"164","2019-03-01","NHS","Orthopaedic","Foot","6031","2818","8849"
"165","2019-03-01","NHS","Orthopaedic","Hand","8448","5802","14250"
"166","2019-03-01","NHS","Orthopaedic","Hip","7587","1566","9153"
"167","2019-03-01","NHS","Orthopaedic","Knee","11793","4751","16544"
"168","2019-03-01","NHS","Orthopaedic","Shoulder","4271","4080","8351"
"169","2019-04-01","Independent Sector","Orthopaedic","Elbow","264","114","378"
"170","2019-04-01","Independent Sector","Orthopaedic","Foot","1515","367","1882"
"171","2019-04-01","Independent Sector","Orthopaedic","Hand","1935","331","2266"
"172","2019-04-01","Independent Sector","Orthopaedic","Hip","2417","240","2657"
"173","2019-04-01","Independent Sector","Orthopaedic","Knee","4147","706","4853"
"174","2019-04-01","Independent Sector","Orthopaedic","Shoulder","1275","454","1729"
"175","2019-04-01","NHS","Orthopaedic","Elbow","1390","4613","6003"
"176","2019-04-01","NHS","Orthopaedic","Foot","5773","2965","8738"
"177","2019-04-01","NHS","Orthopaedic","Hand","7672","5941","13613"
"178","2019-04-01","NHS","Orthopaedic","Hip","6806","1543","8349"
"179","2019-04-01","NHS","Orthopaedic","Knee","10725","5070","15795"
"180","2019-04-01","NHS","Orthopaedic","Shoulder","3522","4405","7927"
"181","2019-05-01","Independent Sector","Orthopaedic","Elbow","321","115","436"
"182","2019-05-01","Independent Sector","Orthopaedic","Foot","1636","368","2004"
"183","2019-05-01","Independent Sector","Orthopaedic","Hand","2301","393","2694"
"184","2019-05-01","Independent Sector","Orthopaedic","Hip","2855","215","3070"
"185","2019-05-01","Independent Sector","Orthopaedic","Knee","4654","805","5459"
"186","2019-05-01","Independent Sector","Orthopaedic","Shoulder","1377","481","1858"
"187","2019-05-01","NHS","Orthopaedic","Elbow","1449","5135","6584"
"188","2019-05-01","NHS","Orthopaedic","Foot","6007","3098","9105"
"189","2019-05-01","NHS","Orthopaedic","Hand","8063","6532","14595"
"190","2019-05-01","NHS","Orthopaedic","Hip","7553","1682","9235"
"191","2019-05-01","NHS","Orthopaedic","Knee","11252","5335","16587"
"192","2019-05-01","NHS","Orthopaedic","Shoulder","3838","4658","8496"
"193","2019-06-01","Independent Sector","Orthopaedic","Elbow","266","103","369"
"194","2019-06-01","Independent Sector","Orthopaedic","Foot","1499","377","1876"
"195","2019-06-01","Independent Sector","Orthopaedic","Hand","2083","339","2422"
"196","2019-06-01","Independent Sector","Orthopaedic","Hip","2899","202","3101"
"197","2019-06-01","Independent Sector","Orthopaedic","Knee","4540","811","5351"
"198","2019-06-01","Independent Sector","Orthopaedic","Shoulder","1313","473","1786"
"199","2019-06-01","NHS","Orthopaedic","Elbow","1294","5187","6481"
"200","2019-06-01","NHS","Orthopaedic","Foot","5712","2891","8603"
"201","2019-06-01","NHS","Orthopaedic","Hand","7615","6059","13674"
"202","2019-06-01","NHS","Orthopaedic","Hip","7423","1603","9026"
"203","2019-06-01","NHS","Orthopaedic","Knee","10909","5029","15938"
"204","2019-06-01","NHS","Orthopaedic","Shoulder","3548","4602","8150"
"205","2019-07-01","Independent Sector","Orthopaedic","Elbow","281","107","388"
"206","2019-07-01","Independent Sector","Orthopaedic","Foot","1640","418","2058"
"207","2019-07-01","Independent Sector","Orthopaedic","Hand","2232","388","2620"
"208","2019-07-01","Independent Sector","Orthopaedic","Hip","2827","270","3097"
"209","2019-07-01","Independent Sector","Orthopaedic","Knee","4588","821","5409"
"210","2019-07-01","Independent Sector","Orthopaedic","Shoulder","1313","478","1791"
"211","2019-07-01","NHS","Orthopaedic","Elbow","1540","6216","7756"
"212","2019-07-01","NHS","Orthopaedic","Foot","5984","3372","9356"
"213","2019-07-01","NHS","Orthopaedic","Hand","8547","7044","15591"
"214","2019-07-01","NHS","Orthopaedic","Hip","7452","1905","9357"
"215","2019-07-01","NHS","Orthopaedic","Knee","11364","5463","16827"
"216","2019-07-01","NHS","Orthopaedic","Shoulder","3970","5472","9442"
"217","2019-08-01","Independent Sector","Orthopaedic","Elbow","261","163","424"
"218","2019-08-01","Independent Sector","Orthopaedic","Foot","1507","391","1898"
"219","2019-08-01","Independent Sector","Orthopaedic","Hand","2167","372","2539"
"220","2019-08-01","Independent Sector","Orthopaedic","Hip","2727","222","2949"
"221","2019-08-01","Independent Sector","Orthopaedic","Knee","4063","788","4851"
"222","2019-08-01","Independent Sector","Orthopaedic","Shoulder","1223","460","1683"
"223","2019-08-01","NHS","Orthopaedic","Elbow","1377","5131","6508"
"224","2019-08-01","NHS","Orthopaedic","Foot","5278","2969","8247"
"225","2019-08-01","NHS","Orthopaedic","Hand","7118","5628","12746"
"226","2019-08-01","NHS","Orthopaedic","Hip","6769","1646","8415"
"227","2019-08-01","NHS","Orthopaedic","Knee","9885","4707","14592"
"228","2019-08-01","NHS","Orthopaedic","Shoulder","3369","4567","7936"
"229","2019-09-01","Independent Sector","Orthopaedic","Elbow","282","258","540"
"230","2019-09-01","Independent Sector","Orthopaedic","Foot","1650","421","2071"
"231","2019-09-01","Independent Sector","Orthopaedic","Hand","2142","450","2592"
"232","2019-09-01","Independent Sector","Orthopaedic","Hip","2795","260","3055"
"233","2019-09-01","Independent Sector","Orthopaedic","Knee","4566","846","5412"
"234","2019-09-01","Independent Sector","Orthopaedic","Shoulder","1304","480","1784"
"235","2019-09-01","NHS","Orthopaedic","Elbow","1621","5011","6632"
"236","2019-09-01","NHS","Orthopaedic","Foot","5790","3069","8859"
"237","2019-09-01","NHS","Orthopaedic","Hand","7803","6212","14015"
"238","2019-09-01","NHS","Orthopaedic","Hip","6938","1846","8784"
"239","2019-09-01","NHS","Orthopaedic","Knee","10836","4944","15780"
"240","2019-09-01","NHS","Orthopaedic","Shoulder","3780","4710","8490"
"241","2019-10-01","Independent Sector","Orthopaedic","Elbow","283","243","526"
"242","2019-10-01","Independent Sector","Orthopaedic","Foot","1927","457","2384"
"243","2019-10-01","Independent Sector","Orthopaedic","Hand","2267","512","2779"
"244","2019-10-01","Independent Sector","Orthopaedic","Hip","3034","238","3272"
"245","2019-10-01","Independent Sector","Orthopaedic","Knee","5016","890","5906"
"246","2019-10-01","Independent Sector","Orthopaedic","Shoulder","1497","576","2073"
"247","2019-10-01","NHS","Orthopaedic","Elbow","1680","5363","7043"
"248","2019-10-01","NHS","Orthopaedic","Foot","6350","3254","9604"
"249","2019-10-01","NHS","Orthopaedic","Hand","8949","6741","15690"
"250","2019-10-01","NHS","Orthopaedic","Hip","7843","1929","9772"
"251","2019-10-01","NHS","Orthopaedic","Knee","12054","5452","17506"
"252","2019-10-01","NHS","Orthopaedic","Shoulder","4155","4761","8916"
"253","2019-11-01","Independent Sector","Orthopaedic","Elbow","302","201","503"
"254","2019-11-01","Independent Sector","Orthopaedic","Foot","1767","418","2185"
"255","2019-11-01","Independent Sector","Orthopaedic","Hand","2400","461","2861"
"256","2019-11-01","Independent Sector","Orthopaedic","Hip","3039","236","3275"
"257","2019-11-01","Independent Sector","Orthopaedic","Knee","4979","840","5819"
"258","2019-11-01","Independent Sector","Orthopaedic","Shoulder","1437","491","1928"
"259","2019-11-01","NHS","Orthopaedic","Elbow","1461","4256","5717"
"260","2019-11-01","NHS","Orthopaedic","Foot","5893","2885","8778"
"261","2019-11-01","NHS","Orthopaedic","Hand","8196","5752","13948"
"262","2019-11-01","NHS","Orthopaedic","Hip","7486","1676","9162"
"263","2019-11-01","NHS","Orthopaedic","Knee","10953","4841","15794"
"264","2019-11-01","NHS","Orthopaedic","Shoulder","3895","3789","7684"
"265","2019-12-01","Independent Sector","Orthopaedic","Elbow","232","203","435"
"266","2019-12-01","Independent Sector","Orthopaedic","Foot","1355","397","1752"
"267","2019-12-01","Independent Sector","Orthopaedic","Hand","1835","369","2204"
"268","2019-12-01","Independent Sector","Orthopaedic","Hip","2371","177","2548"
"269","2019-12-01","Independent Sector","Orthopaedic","Knee","3952","701","4653"
"270","2019-12-01","Independent Sector","Orthopaedic","Shoulder","1077","449","1526"
"271","2019-12-01","NHS","Orthopaedic","Elbow","1248","4244","5492"
"272","2019-12-01","NHS","Orthopaedic","Foot","4864","2526","7390"
"273","2019-12-01","NHS","Orthopaedic","Hand","6676","5297","11973"
"274","2019-12-01","NHS","Orthopaedic","Hip","6259","1552","7811"
"275","2019-12-01","NHS","Orthopaedic","Knee","9556","4419","13975"
"276","2019-12-01","NHS","Orthopaedic","Shoulder","3187","3514","6701"
"277","2020-01-01","Independent Sector","Orthopaedic","Elbow","306","241","547"
"278","2020-01-01","Independent Sector","Orthopaedic","Foot","1900","414","2314"
"279","2020-01-01","Independent Sector","Orthopaedic","Hand","2365","456","2821"
"280","2020-01-01","Independent Sector","Orthopaedic","Hip","2803","274","3077"
"281","2020-01-01","Independent Sector","Orthopaedic","Knee","4880","903","5783"
"282","2020-01-01","Independent Sector","Orthopaedic","Shoulder","1335","538","1873"
"283","2020-01-01","NHS","Orthopaedic","Elbow","1486","4390","5876"
"284","2020-01-01","NHS","Orthopaedic","Foot","6069","2977","9046"
"285","2020-01-01","NHS","Orthopaedic","Hand","8725","5852","14577"
"286","2020-01-01","NHS","Orthopaedic","Hip","6439","1879","8318"
"287","2020-01-01","NHS","Orthopaedic","Knee","10033","4991","15024"
"288","2020-01-01","NHS","Orthopaedic","Shoulder","3796","3898","7694"
"289","2020-02-01","Independent Sector","Orthopaedic","Elbow","289","193","482"
"290","2020-02-01","Independent Sector","Orthopaedic","Foot","1754","341","2095"
"291","2020-02-01","Independent Sector","Orthopaedic","Hand","2174","410","2584"
"292","2020-02-01","Independent Sector","Orthopaedic","Hip","2867","219","3086"
"293","2020-02-01","Independent Sector","Orthopaedic","Knee","4747","803","5550"
"294","2020-02-01","Independent Sector","Orthopaedic","Shoulder","1291","459","1750"
"295","2020-02-01","NHS","Orthopaedic","Elbow","1365","3704","5069"
"296","2020-02-01","NHS","Orthopaedic","Foot","5712","2515","8227"
"297","2020-02-01","NHS","Orthopaedic","Hand","7878","5063","12941"
"298","2020-02-01","NHS","Orthopaedic","Hip","6821","1587","8408"
"299","2020-02-01","NHS","Orthopaedic","Knee","10466","4131","14597"
"300","2020-02-01","NHS","Orthopaedic","Shoulder","3557","3366","6923"
"301","2020-03-01","Independent Sector","Orthopaedic","Elbow","186","133","319"
"302","2020-03-01","Independent Sector","Orthopaedic","Foot","1146","247","1393"
"303","2020-03-01","Independent Sector","Orthopaedic","Hand","1562","300","1862"
"304","2020-03-01","Independent Sector","Orthopaedic","Hip","2166","138","2304"
"305","2020-03-01","Independent Sector","Orthopaedic","Knee","3599","533","4132"
"306","2020-03-01","Independent Sector","Orthopaedic","Shoulder","955","302","1257"
"307","2020-03-01","NHS","Orthopaedic","Elbow","854","3453","4307"
"308","2020-03-01","NHS","Orthopaedic","Foot","3271","2057","5328"
"309","2020-03-01","NHS","Orthopaedic","Hand","4788","4486","9274"
"310","2020-03-01","NHS","Orthopaedic","Hip","4568","1326","5894"
"311","2020-03-01","NHS","Orthopaedic","Knee","7109","3450","10559"
"312","2020-03-01","NHS","Orthopaedic","Shoulder","2326","2612","4938"
"313","2020-04-01","Independent Sector","Orthopaedic","Elbow","3","37","40"
"314","2020-04-01","Independent Sector","Orthopaedic","Foot","23","30","53"
"315","2020-04-01","Independent Sector","Orthopaedic","Hand","23","26","49"
"316","2020-04-01","Independent Sector","Orthopaedic","Hip","17","3","20"
"317","2020-04-01","Independent Sector","Orthopaedic","Knee","46","36","82"
"318","2020-04-01","Independent Sector","Orthopaedic","Shoulder","12","10","22"
"319","2020-04-01","NHS","Orthopaedic","Elbow","82","1906","1988"
"320","2020-04-01","NHS","Orthopaedic","Foot","134","874","1008"
"321","2020-04-01","NHS","Orthopaedic","Hand","236","1689","1925"
"322","2020-04-01","NHS","Orthopaedic","Hip","135","666","801"
"323","2020-04-01","NHS","Orthopaedic","Knee","264","1517","1781"
"324","2020-04-01","NHS","Orthopaedic","Shoulder","77","1418","1495"
"325","2020-05-01","Independent Sector","Orthopaedic","Elbow","9","42","51"
"326","2020-05-01","Independent Sector","Orthopaedic","Foot","20","11","31"
"327","2020-05-01","Independent Sector","Orthopaedic","Hand","111","35","146"
"328","2020-05-01","Independent Sector","Orthopaedic","Hip","14","7","21"
"329","2020-05-01","Independent Sector","Orthopaedic","Knee","41","31","72"
"330","2020-05-01","Independent Sector","Orthopaedic","Shoulder","13","12","25"
"331","2020-05-01","NHS","Orthopaedic","Elbow","105","1974","2079"
"332","2020-05-01","NHS","Orthopaedic","Foot","217","789","1006"
"333","2020-05-01","NHS","Orthopaedic","Hand","490","1736","2226"
"334","2020-05-01","NHS","Orthopaedic","Hip","214","589","803"
"335","2020-05-01","NHS","Orthopaedic","Knee","435","1529","1964"
"336","2020-05-01","NHS","Orthopaedic","Shoulder","111","1528","1639"
"337","2020-06-01","Independent Sector","Orthopaedic","Elbow","40","56","96"
"338","2020-06-01","Independent Sector","Orthopaedic","Foot","137","14","151"
"339","2020-06-01","Independent Sector","Orthopaedic","Hand","283","57","340"
"340","2020-06-01","Independent Sector","Orthopaedic","Hip","161","10","171"
"341","2020-06-01","Independent Sector","Orthopaedic","Knee","376","58","434"
"342","2020-06-01","Independent Sector","Orthopaedic","Shoulder","145","31","176"
"343","2020-06-01","NHS","Orthopaedic","Elbow","353","2866","3219"
"344","2020-06-01","NHS","Orthopaedic","Foot","646","1239","1885"
"345","2020-06-01","NHS","Orthopaedic","Hand","1638","2823","4461"
"346","2020-06-01","NHS","Orthopaedic","Hip","790","819","1609"
"347","2020-06-01","NHS","Orthopaedic","Knee","1518","2077","3595"
"348","2020-06-01","NHS","Orthopaedic","Shoulder","554","2185","2739"
"349","2020-07-01","Independent Sector","Orthopaedic","Elbow","61","68","129"
"350","2020-07-01","Independent Sector","Orthopaedic","Foot","330","68","398"
"351","2020-07-01","Independent Sector","Orthopaedic","Hand","627","89","716"
"352","2020-07-01","Independent Sector","Orthopaedic","Hip","479","77","556"
"353","2020-07-01","Independent Sector","Orthopaedic","Knee","899","162","1061"
"354","2020-07-01","Independent Sector","Orthopaedic","Shoulder","330","108","438"
"355","2020-07-01","NHS","Orthopaedic","Elbow","560","3565","4125"
"356","2020-07-01","NHS","Orthopaedic","Foot","1676","1408","3084"
"357","2020-07-01","NHS","Orthopaedic","Hand","3292","3395","6687"
"358","2020-07-01","NHS","Orthopaedic","Hip","1995","942","2937"
"359","2020-07-01","NHS","Orthopaedic","Knee","3619","2518","6137"
"360","2020-07-01","NHS","Orthopaedic","Shoulder","1398","2546","3944"
"361","2020-08-01","Independent Sector","Orthopaedic","Elbow","115","68","183"
"362","2020-08-01","Independent Sector","Orthopaedic","Foot","502","70","572"
"363","2020-08-01","Independent Sector","Orthopaedic","Hand","800","128","928"
"364","2020-08-01","Independent Sector","Orthopaedic","Hip","1087","74","1161"
"365","2020-08-01","Independent Sector","Orthopaedic","Knee","1635","272","1907"
"366","2020-08-01","Independent Sector","Orthopaedic","Shoulder","442","126","568"
"367","2020-08-01","NHS","Orthopaedic","Elbow","727","3636","4363"
"368","2020-08-01","NHS","Orthopaedic","Foot","2390","1468","3858"
"369","2020-08-01","NHS","Orthopaedic","Hand","3436","3177","6613"
"370","2020-08-01","NHS","Orthopaedic","Hip","3250","1036","4286"
"371","2020-08-01","NHS","Orthopaedic","Knee","4865","2606","7471"
"372","2020-08-01","NHS","Orthopaedic","Shoulder","1697","2723","4420"
"373","2020-09-01","Independent Sector","Orthopaedic","Elbow","150","120","270"
"374","2020-09-01","Independent Sector","Orthopaedic","Foot","749","131","880"
